                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56754,                 3.0551,                0.93656,                      0,                      0,                      0,                      0,                0.49429,                 3.9984,                  1.109,                      0,                      0,                      0
                      2,                0.58222,                 2.5623,                 1.0047,                      0,                      0,                      0,                      0,                0.49484,                 3.9536,                 1.1044,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.58293,                 2.6457,                0.81435,                      0,                      0,                      0,                      0,                0.49747,                 3.9194,                  1.096,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 0.5089,                 3.1189,                0.91309,                      0,                      0,                      0,                      0,                0.49347,                 3.9014,                 1.0885,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.62464,                  2.073,                 1.0315,                0.97275,                      1,                  0.995,                 0.8955,                0.49152,                0.65108,                 1.0537,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.53239,                  1.062,                0.86815,                0.97306,                      1,                  0.995,                 0.8955,                0.47459,                0.60791,                 1.0427,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.40342,                  1.591,                0.93168,                0.97307,                      1,                  0.995,                 0.8955,                0.38837,                 0.5525,                0.98598,             0.00011287,             0.00011287,             0.00011287
                      8,                0.93716,                   1.19,                 1.1744,                0.96587,                      1,                  0.995,                  0.995,                0.31875,                0.83542,                 0.9809,              0.0001303,              0.0001303,              0.0001303
                      9,                0.73484,                  2.054,                 1.1407,                0.96904,                      1,                  0.995,                  0.995,                0.39575,                0.89623,                0.99711,             0.00014733,             0.00014733,             0.00014733
                     10,                0.73548,                  1.453,                0.98923,                      1,                      1,                  0.995,                 0.8955,                0.46589,                 1.1631,                 1.0105,             0.00016396,             0.00016396,             0.00016396
                     11,                0.69318,                0.94492,                 1.1031,                      1,                      1,                  0.995,                 0.8955,                0.48244,                 1.2868,                   1.03,              0.0001802,              0.0001802,              0.0001802
                     12,                 0.5504,                 1.0914,                0.84864,                      1,                      1,                  0.995,                 0.8955,                0.56544,                 1.9323,                 1.0386,             0.00019604,             0.00019604,             0.00019604
                     13,                0.69289,                0.89169,                 1.0576,                      1,                      1,                  0.995,                 0.8955,                0.52548,                 2.2698,                 1.0132,             0.00021149,             0.00021149,             0.00021149
                     14,                0.67484,                0.86223,                 0.9326,                0.95725,                      1,                  0.995,                  0.796,                0.68212,                 1.3216,                 1.1739,             0.00022654,             0.00022654,             0.00022654
                     15,                0.38146,                0.65846,                0.85443,                0.97015,                      1,                  0.995,                  0.796,                0.70869,                 1.2059,                  1.226,             0.00024119,             0.00024119,             0.00024119
                     16,                0.98608,                 1.0591,                 1.2862,                      1,                      1,                  0.995,                  0.796,                0.63198,                  1.534,                 1.1107,             0.00025545,             0.00025545,             0.00025545
                     17,                 0.7717,                0.68599,                0.88423,                      1,                      1,                  0.995,                 0.8955,                0.36963,                 3.3004,                 1.0007,             0.00026931,             0.00026931,             0.00026931
                     18,                0.87579,                  1.015,                 1.1577,                      1,                      1,                  0.995,                 0.8955,                0.36963,                 3.3004,                 1.0007,             0.00028278,             0.00028278,             0.00028278
                     19,                0.74675,                  0.835,                 1.1153,                      1,                      1,                  0.995,                 0.8955,                 0.5648,                 2.3989,                 1.0337,             0.00029585,             0.00029585,             0.00029585
                     20,                  1.029,                 1.1407,                  1.336,                      1,                      1,                  0.995,                 0.8955,                 0.5648,                 2.3989,                 1.0337,             0.00030852,             0.00030852,             0.00030852
                     21,                0.65963,                0.75808,                0.93619,                      1,                      1,                  0.995,                 0.8955,                0.39935,                 1.4728,                 1.0223,              0.0003208,              0.0003208,              0.0003208
                     22,                0.64678,                 1.2618,                0.86982,                      1,                      1,                  0.995,                 0.8955,                0.39935,                 1.4728,                 1.0223,             0.00033268,             0.00033268,             0.00033268
                     23,                0.60889,                 1.2186,                0.98068,                      1,                      1,                  0.995,                  0.796,                  0.851,                  1.584,                 1.1249,             0.00034417,             0.00034417,             0.00034417
                     24,                0.57719,                 1.0222,                 1.0364,                      1,                      1,                  0.995,                  0.796,                  0.851,                  1.584,                 1.1249,             0.00035526,             0.00035526,             0.00035526
                     25,                0.59365,                0.70544,                0.93421,                      1,                      1,                  0.995,                 0.6965,                 1.0496,                 2.2951,                 1.2701,             0.00036595,             0.00036595,             0.00036595
                     26,                0.73849,                 1.5659,                0.93001,                      1,                      1,                  0.995,                 0.6965,                 1.0496,                 2.2951,                 1.2701,             0.00037625,             0.00037625,             0.00037625
                     27,                0.59353,                 1.3131,                0.96425,                      1,                      1,                  0.995,                  0.995,                0.68672,                 3.0353,                 1.2176,             0.00038615,             0.00038615,             0.00038615
                     28,                0.59297,                 1.0207,                 1.0106,                      1,                      1,                  0.995,                  0.995,                0.68672,                 3.0353,                 1.2176,             0.00039566,             0.00039566,             0.00039566
                     29,                0.38653,                 1.5747,                0.91346,                0.30076,                      1,                  0.995,                  0.796,                0.88558,                 6.1412,                 1.2705,             0.00040477,             0.00040477,             0.00040477
                     30,                0.52323,                0.79083,                0.94495,                0.30076,                      1,                  0.995,                  0.796,                0.88558,                 6.1412,                 1.2705,             0.00041348,             0.00041348,             0.00041348
                     31,                0.80669,                0.85907,                0.90215,                0.05502,                      1,                0.06219,                0.04975,                0.77389,                 53.483,                 1.2299,              0.0004218,              0.0004218,              0.0004218
                     32,                0.69284,                 2.3731,                 1.0249,                0.05502,                      1,                0.06219,                0.04975,                0.77389,                 53.483,                 1.2299,             0.00042972,             0.00042972,             0.00042972
                     33,                0.67046,                 2.2813,                 0.9876,                0.10359,                      1,                0.14214,                0.11371,                0.73743,                 20.465,                 1.2189,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.0468,                 1.8544,                  1.237,                0.10359,                      1,                0.14214,                0.11371,                0.73743,                 20.465,                 1.2189,             0.00044438,             0.00044438,             0.00044438
                     35,                0.68332,                 1.4182,                 1.0569,                0.88426,                      1,                  0.995,                  0.796,                0.69353,                 2.9695,                 1.1576,             0.00045111,             0.00045111,             0.00045111
                     36,                0.66225,                 1.2344,                 1.0269,                0.88426,                      1,                  0.995,                  0.796,                0.69353,                 2.9695,                 1.1576,             0.00045745,             0.00045745,             0.00045745
                     37,                0.96337,                 1.1166,                 1.0608,                0.97472,                      1,                  0.995,                 0.6965,                0.66891,                 1.0205,                  1.151,             0.00046339,             0.00046339,             0.00046339
                     38,                0.76998,                0.87332,                 1.0733,                0.97472,                      1,                  0.995,                 0.6965,                0.66891,                 1.0205,                  1.151,             0.00046894,             0.00046894,             0.00046894
                     39,                0.82001,                 1.1218,                 1.1548,                0.97258,                      1,                  0.995,                 0.6965,                 1.3436,                 1.2294,                 1.3351,             0.00047409,             0.00047409,             0.00047409
                     40,                0.67223,                0.75457,                 1.1916,                0.97258,                      1,                  0.995,                 0.6965,                 1.3436,                 1.2294,                 1.3351,             0.00047884,             0.00047884,             0.00047884
                     41,                0.74662,                 1.0467,                 1.3123,                0.97258,                      1,                  0.995,                 0.6965,                 2.0298,                 7.0925,                 2.9355,              0.0004832,              0.0004832,              0.0004832
                     42,                0.77593,                0.86487,                 1.0492,                0.97258,                      1,                  0.995,                 0.6965,                 2.0298,                 7.0925,                 2.9355,             0.00048716,             0.00048716,             0.00048716
                     43,                0.78988,                0.68565,                 1.1054,                 0.1335,                      1,                0.14214,                 0.0995,                 1.5881,                 12.645,                 1.6201,             0.00049073,             0.00049073,             0.00049073
                     44,                0.65475,                0.74417,                 1.0498,                 0.1335,                      1,                0.14214,                 0.0995,                 1.5881,                 12.645,                 1.6201,              0.0004939,              0.0004939,              0.0004939
                     45,                0.62938,                   0.72,                 1.2646,                 0.1335,                      1,                0.14214,                 0.0995,                 2.3104,                 21.908,                 1.9856,             0.00049667,             0.00049667,             0.00049667
                     46,                0.90277,                 0.7507,                 1.1241,                 0.1335,                      1,                0.14214,                 0.0995,                 2.3104,                 21.908,                 1.9856,             0.00049905,             0.00049905,             0.00049905
                     47,                0.87183,                0.65029,                  1.136,                 0.1335,                      1,                0.14214,                 0.0995,                0.99884,                 86.399,                 1.7763,             0.00050103,             0.00050103,             0.00050103
                     48,                0.85154,                0.92884,                 1.2286,                 0.1335,                      1,                0.14214,                 0.0995,                0.99884,                 86.399,                 1.7763,             0.00050262,             0.00050262,             0.00050262
                     49,                 0.6648,                0.87836,                 1.3348,                0.00627,                      1,                0.00672,                0.00067,                 2.7774,                 103.85,                 2.9218,             0.00050381,             0.00050381,             0.00050381
                     50,                0.72343,                 1.2151,                 1.1072,                0.00627,                      1,                0.00672,                0.00067,                 2.7774,                 103.85,                 2.9218,              0.0005046,              0.0005046,              0.0005046
                     51,                0.56573,                0.58473,                0.89742,                0.00468,                      1,                0.00578,                0.00058,                 3.4362,                 169.16,                 4.4865,               0.000505,               0.000505,               0.000505
                     52,                0.86154,                  1.302,                 1.3082,                0.00468,                      1,                0.00578,                0.00058,                 3.4362,                 169.16,                 4.4865,               0.000505,               0.000505,               0.000505
                     53,                0.73865,                0.84953,                 1.0093,                0.00468,                      1,                0.00578,                0.00058,                 3.4362,                 169.16,                 4.4865,             0.00050461,             0.00050461,             0.00050461
                     54,                0.68519,                 1.1938,                 1.1573,                0.00468,                      1,                0.00578,                0.00058,                  1.739,                 25.231,                  1.657,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.0909,                 1.3809,                 1.1984,                0.00468,                      1,                0.00578,                0.00058,                  1.739,                 25.231,                  1.657,             0.00050263,             0.00050263,             0.00050263
                     56,                0.93168,                0.92121,                 1.1022,                0.00468,                      1,                0.00578,                0.00058,                  1.739,                 25.231,                  1.657,             0.00050105,             0.00050105,             0.00050105
                     57,                0.65557,                0.53816,                0.94497,                0.92266,                      1,                  0.995,                 0.8955,                0.81581,                 2.8738,                 1.4857,             0.00049907,             0.00049907,             0.00049907
                     58,                0.87807,                0.82035,                  1.138,                0.92266,                      1,                  0.995,                 0.8955,                0.81581,                 2.8738,                 1.4857,              0.0004967,              0.0004967,              0.0004967
                     59,                0.58289,                  0.867,                0.90996,                0.92266,                      1,                  0.995,                 0.8955,                0.81581,                 2.8738,                 1.4857,             0.00049393,             0.00049393,             0.00049393
                     60,                0.78965,                0.66621,                 1.0119,                0.00467,                      1,                0.00465,                0.00198,                 2.9407,                 2303.4,                 8.3101,             0.00049076,             0.00049076,             0.00049076
                     61,                0.85547,                0.99947,                 1.2607,                0.00467,                      1,                0.00465,                0.00198,                 2.9407,                 2303.4,                 8.3101,              0.0004872,              0.0004872,              0.0004872
                     62,                0.59605,                0.82032,                 1.0108,                0.00467,                      1,                0.00465,                0.00198,                 2.9407,                 2303.4,                 8.3101,             0.00048324,             0.00048324,             0.00048324
                     63,                0.93757,                0.90896,                 1.4907,                0.00467,                      1,                0.00465,                0.00198,                 2.3799,                 5942.1,                 5.9773,             0.00047889,             0.00047889,             0.00047889
                     64,                0.78341,                0.75108,                 1.1427,                0.00467,                      1,                0.00465,                0.00198,                 2.3799,                 5942.1,                 5.9773,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.0676,                0.88831,                 1.2401,                0.00467,                      1,                0.00465,                0.00198,                 2.3799,                 5942.1,                 5.9773,             0.00046899,             0.00046899,             0.00046899
                     66,                0.86888,                0.88263,                 1.1599,                0.00467,                      1,                0.00465,                0.00198,                  4.407,                 143.74,                 3.9853,             0.00046345,             0.00046345,             0.00046345
                     67,                 0.7209,                0.90663,                 1.0057,                0.00467,                      1,                0.00465,                0.00198,                  4.407,                 143.74,                 3.9853,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.0473,                 0.9333,                 1.2073,                0.00467,                      1,                0.00465,                0.00198,                  4.407,                 143.74,                 3.9853,             0.00045118,             0.00045118,             0.00045118
                     69,                0.60462,                0.74203,                 1.0369,                0.04608,                      1,                0.12437,                 0.0995,                0.76652,                 23.662,                 1.4777,             0.00044445,             0.00044445,             0.00044445
                     70,                  0.705,                0.84056,                0.94901,                0.04608,                      1,                0.12437,                 0.0995,                0.76652,                 23.662,                 1.4777,             0.00043732,             0.00043732,             0.00043732
                     71,                0.64236,                0.77343,                 1.1772,                0.04608,                      1,                0.12437,                 0.0995,                0.76652,                 23.662,                 1.4777,              0.0004298,              0.0004298,              0.0004298
                     72,                0.78423,                0.62633,                 1.1007,                0.94602,                      1,                  0.995,                  0.796,                0.73213,                 1.5572,                 1.4752,             0.00042188,             0.00042188,             0.00042188
                     73,                0.59326,                0.55329,                0.97931,                0.94602,                      1,                  0.995,                  0.796,                0.73213,                 1.5572,                 1.4752,             0.00041357,             0.00041357,             0.00041357
                     74,                0.57383,                 1.2877,                 1.0847,                0.94602,                      1,                  0.995,                  0.796,                0.73213,                 1.5572,                 1.4752,             0.00040486,             0.00040486,             0.00040486
                     75,                0.63576,                0.69348,                 1.0957,                0.91883,                      1,                  0.995,                 0.8955,                0.70952,                0.82329,                 1.4188,             0.00039575,             0.00039575,             0.00039575
                     76,                0.84111,                0.73419,                0.98603,                0.91883,                      1,                  0.995,                 0.8955,                0.70952,                0.82329,                 1.4188,             0.00038625,             0.00038625,             0.00038625
                     77,                0.95215,                0.76765,                 1.1747,                0.91883,                      1,                  0.995,                 0.8955,                0.70952,                0.82329,                 1.4188,             0.00037635,             0.00037635,             0.00037635
                     78,                0.67058,                 0.5974,                0.86846,                0.79932,                      1,                  0.995,                  0.796,                0.79319,                0.98448,                 1.2611,             0.00036606,             0.00036606,             0.00036606
